mmsi,name,year,gaps,flags,either_endpoint_inside_eez
770576134,MARIANNE,2019,6,URY,5
770576134,MARIANNE,2020,2,URY,2
770576134,MARIANNE,2022,3,URY,3
770576134,MARIANNE,2023,3,URY,2
770576134,MARIANNE,2025,1,URY,0
701019000,CENTAURO 2000,2017,1,ARG,1
701019000,CENTAURO 2000,2022,1,ARG,1
701019000,CENTAURO 2000,2023,6,ARG,6
701019000,CENTAURO 2000,2025,2,ARG,2
701019000,CENTAURO 2000,2026,2,ARG,2
701056000,ALDEBARAN,2017,5,ARG,5
701056000,ALDEBARAN,2018,6,ARG,6
701056000,ALDEBARAN,2020,2,ARG,2
412329658,LU HUANG YUAN YU 108,2017,15,CHN,0
412329658,LU HUANG YUAN YU 108,2018,3,CHN,0
412329658,LU HUANG YUAN YU 108,2019,9,CHN,0
412329658,LU HUANG YUAN YU 108,2020,9,CHN,0
412329658,LU HUANG YUAN YU 108,2026,2,CHN,0
740372000,NEW POLAR,2017,3,FLK,0
224724000,PLAYA DE TAMBO,2017,9,ESP,0
224724000,PLAYA DE TAMBO,2018,15,ESP,0
224724000,PLAYA DE TAMBO,2019,6,ESP,0
224724000,PLAYA DE TAMBO,2020,18,ESP,0
224724000,PLAYA DE TAMBO,2021,24,ESP,0
224724000,PLAYA DE TAMBO,2022,29,ESP,0
224724000,PLAYA DE TAMBO,2023,17,ESP,0
224724000,PLAYA DE TAMBO,2026,1,ESP,0
416241600,SUN GIN YI,2017,3,TWN,0
416241600,SUN GIN YI,2018,2,TWN,0
416241600,SUN GIN YI,2019,2,TWN,0
440282000,SOUTHERN OCEAN,2017,9,KOR,1
440282000,SOUTHERN OCEAN,2021,1,KOR,0
701000837,CIUDAD FELIZ,2017,6,ARG,6
701000837,CIUDAD FELIZ,2018,2,ARG,2
701000837,CIUDAD FELIZ,2019,1,ARG,1
701000837,CIUDAD FELIZ,2023,2,ARG,2
701000837,CIUDAD FELIZ,2024,4,ARG,4
701000837,CIUDAD FELIZ,2025,5,ARG,5
701000837,CIUDAD FELIZ,2026,2,ARG,2
740336000,ARGOS GALICIA,2017,2,FLK,0
740336000,ARGOS GALICIA,2018,5,FLK,0
412420912,ZHOU YU 8,2017,5,CHN,0
412420912,ZHOU YU 8,2018,7,CHN,0
416004564,CHUN HAO,2017,4,TWN,0
416004564,CHUN HAO,2018,1,TWN,0
416004564,CHUN HAO,2020,1,TWN,0
416004564,CHUN HAO,2023,1,TWN,0
740344000,GOLDEN CHICHA,2017,6,FLK,0
740344000,GOLDEN CHICHA,2018,7,FLK,0
740344000,GOLDEN CHICHA,2019,1,FLK,0
